Percentyl,Próg (Threshold),Avg Recall,Avg Precision,Avg F1,F1 Std (+/-),Avg FP,Avg TP
60,0.000090,0.997576,0.740609,0.850097,0.000586,28249.200000,80656.500000
65,0.000099,0.995539,0.764596,0.864916,0.000543,24781.900000,80491.800000
70,0.000113,0.989977,0.789967,0.878734,0.000544,21281.300000,80042.100000
75,0.000140,0.966955,0.815012,0.884505,0.000547,17745.200000,78180.700000
80,0.000187,0.892306,0.835665,0.863057,0.000667,14187.400000,72145.200000
85,0.000282,0.723690,0.846402,0.780250,0.000827,10618.200000,58512.200000
90,0.000643,0.467453,0.841241,0.600965,0.001674,7132.500000,37794.800000
95,0.002222,0.147958,0.769879,0.248213,0.001466,3575.700000,11962.800000
96,0.002490,0.078713,0.688604,0.141276,0.001328,2877.800000,6364.100000
97,0.003293,0.043491,0.617995,0.081262,0.000722,2173.600000,3516.300000
98,0.004422,0.033440,0.651521,0.063615,0.000673,1446.100000,2703.700000
99,0.006137,0.029970,0.772070,0.057699,0.000820,715.300000,2423.100000
